ts_code,high,low,close,trade_date,open,pre_close,change,pct_chg,vol,amount
000001.SZ,9.42,9.16,9.19,20190102,9.39,9.38,-0.19,-2.0256,539386.32,498695.109
000001.SZ,9.33,9.15,9.28,20190103,9.18,9.19,0.09,0.9793,415537.95,384457.707
000001.SZ,9.82,9.22,9.75,20190104,9.24,9.28,0.47,5.0647,1481159.06,1422149.888
000001.SZ,9.85,9.63,9.74,20190107,9.84,9.75,-0.01,-0.1026,865687.66,841166.43
000001.SZ,9.74,9.62,9.66,20190108,9.73,9.74,-0.08,-0.8214,402388.11,389247.795
000001.SZ,10.08,9.7,9.94,20190109,9.74,9.66,0.28,2.8986,1233486.36,1229465.116
000001.SZ,10.2,9.86,10.1,20190110,9.87,9.94,0.16,1.6097,1071817.66,1079711.035
000001.SZ,10.22,10.05,10.2,20190111,10.11,10.1,0.1,0.9901,696364.55,708001.802
000001.SZ,10.25,10.07,10.11,20190114,10.22,10.2,-0.09,-0.8824,500443.59,507862.882
000001.SZ,10.28,10.09,10.24,20190115,10.11,10.11,0.13,1.2859,542160.55,553027.309
000001.SZ,10.5,10.23,10.48,20190116,10.24,10.24,0.24,2.3438,977699.37,1017495.116
000001.SZ,10.57,10.17,10.25,20190117,10.54,10.48,-0.23,-2.1947,882811.92,910212.066
000001.SZ,10.49,10.28,10.43,20190118,10.34,10.25,0.18,1.7561,738793.26,769973.637
000001.SZ,10.47,10.32,10.34,20190121,10.34,10.43,-0.09,-0.8629,659355.76,684465.646
000001.SZ,10.44,10.26,10.28,20190122,10.34,10.34,-0.06,-0.5803,424413.57,438991.45
000001.SZ,10.47,10.29,10.35,20190123,10.29,10.28,0.07,0.6809,537876.63,559384.396
000001.SZ,10.55,10.37,10.52,20190124,10.4,10.35,0.17,1.6425,679240.88,711495.718
000001.SZ,11.04,10.55,11.0,20190125,10.56,10.52,0.48,4.5627,2108361.85,2299718.224
000001.SZ,11.14,10.88,10.94,20190128,11.04,11.0,-0.06,-0.5455,1035909.8,1141853.833
000001.SZ,11.07,10.77,11.0,20190129,10.96,10.94,0.06,0.5484,826631.1,904847.854
000001.SZ,11.18,10.86,10.95,20190130,10.95,11.0,-0.05,-0.4545,712001.01,785204.571
000001.SZ,11.2,10.94,11.1,20190131,10.98,10.95,0.15,1.3699,831622.75,922602.874
000001.SZ,11.25,10.96,11.2,20190201,11.2,11.1,0.1,0.9009,1014270.07,1127216.186
000001.SZ,11.21,10.97,11.21,20190211,11.08,11.2,0.01,0.0893,801936.63,889951.528
000001.SZ,11.31,11.03,11.19,20190212,11.2,11.21,-0.02,-0.1784,959936.9,1071873.084
000001.SZ,11.41,11.12,11.38,20190213,11.19,11.19,0.19,1.6979,1137365.74,1280182.096
000001.SZ,11.33,11.19,11.25,20190214,11.3,11.38,-0.13,-1.1424,869185.19,977818.097
000001.SZ,11.23,10.9,10.95,20190215,11.23,11.25,-0.3,-2.6667,1100127.46,1213914.428
000001.SZ,11.36,11.04,11.36,20190218,11.05,10.95,0.41,3.7443,1255522.21,1408279.68
000001.SZ,11.62,11.24,11.27,20190219,11.36,11.36,-0.09,-0.7923,1270882.04,1445281.382
000002.SZ,24.09,23.67,23.9,20190102,23.83,23.82,0.08,0.3359,247010.28,589384.596
000002.SZ,24.5,23.71,24.07,20190103,23.79,23.9,0.17,0.7113,222353.59,536333.264
000002.SZ,25.0,23.85,24.93,20190104,23.91,24.07,0.86,3.5729,377727.21,927011.718
000002.SZ,25.53,24.99,25.05,20190107,25.29,24.93,0.12,0.4813,427154.85,1077909.188
000002.SZ,25.2,24.63,25.0,20190108,25.05,25.05,-0.05,-0.1996,214382.02,533604.348
000002.SZ,25.88,25.11,25.33,20190109,25.4,25.0,0.33,1.32,340140.62,867081.397
000002.SZ,25.56,25.03,25.11,20190110,25.22,25.33,-0.22,-0.8685,224649.2,568952.646
000002.SZ,25.54,25.01,25.3,20190111,25.1,25.11,0.19,0.7567,240694.9,606994.703
000002.SZ,25.3,24.92,25.02,20190114,25.13,25.3,-0.28,-1.1067,183281.34,459151.853
000002.SZ,25.16,24.32,25.16,20190115,25.0,25.02,0.14,0.5596,368758.85,914983.495
000002.SZ,25.5,24.83,25.42,20190116,25.15,25.16,0.26,1.0334,267466.06,676685.59
000002.SZ,25.5,24.94,24.97,20190117,25.5,25.42,-0.45,-1.7703,245895.86,618876.709
000002.SZ,25.76,24.99,25.76,20190118,25.0,24.97,0.79,3.1638,365723.28,933464.191
000002.SZ,25.95,25.4,25.65,20190121,25.71,25.76,-0.11,-0.427,255499.85,655820.643
000002.SZ,26.17,25.23,25.4,20190122,25.5,25.65,-0.25,-0.9747,379336.8,974822.713
000002.SZ,25.49,25.2,25.31,20190123,25.35,25.4,-0.09,-0.3543,146847.03,371890.084
000002.SZ,25.54,24.93,25.41,20190124,25.42,25.31,0.1,0.3951,234931.05,592822.911
000002.SZ,26.35,25.49,26.1,20190125,25.51,25.41,0.69,2.7155,451756.17,1176479.676
000002.SZ,26.62,25.86,26.06,20190128,26.2,26.1,-0.04,-0.1533,308906.56,810288.818
000002.SZ,26.88,25.87,26.88,20190129,25.91,26.06,0.82,3.1466,368071.63,974279.357
000002.SZ,27.82,26.63,27.21,20190130,26.7,26.88,0.33,1.2277,592303.18,1615186.856
000002.SZ,28.15,27.0,27.75,20190131,27.39,27.21,0.54,1.9846,411857.6,1138512.393
000002.SZ,28.22,26.98,27.68,20190201,28.15,27.75,-0.07,-0.2523,518543.17,1415838.207
000002.SZ,27.69,26.89,27.67,20190211,27.27,27.68,-0.01,-0.0361,448513.22,1222114.37
000002.SZ,27.58,26.85,27.4,20190212,27.45,27.67,-0.27,-0.9758,510238.63,1387073.367
000002.SZ,27.98,27.13,27.77,20190213,27.35,27.4,0.37,1.3504,671739.48,1849718.606
000002.SZ,27.68,27.17,27.44,20190214,27.59,27.77,-0.33,-1.1883,548813.88,1501936.309
000002.SZ,27.42,26.5,26.55,20190215,27.29,27.44,-0.89,-3.2434,622319.82,1674145.046
000002.SZ,27.2,26.67,27.2,20190218,26.85,26.55,0.65,2.4482,689164.95,1857391.137
000002.SZ,27.39,26.91,27.03,20190219,27.35,27.2,-0.17,-0.625,581793.8,1578093.49
000004.SZ,16.24,16.01,16.06,20190102,16.05,16.03,0.03,0.1871,1424.0,2290.041
000004.SZ,16.32,16.0,16.25,20190103,16.06,16.06,0.19,1.1831,2147.0,3471.218
000004.SZ,16.8,16.01,16.6,20190104,16.3,16.25,0.35,2.1538,2815.0,4616.833
000004.SZ,17.4,16.46,17.22,20190107,16.61,16.6,0.62,3.7349,5213.76,8808.223
000004.SZ,17.2,16.8,16.81,20190108,17.1,17.22,-0.41,-2.381,6090.46,10354.329
000004.SZ,17.0,16.72,16.78,20190109,16.82,16.81,-0.03,-0.1785,3384.0,5697.448
000004.SZ,17.13,16.66,16.69,20190110,16.85,16.78,-0.09,-0.5364,1932.0,3246.303
000004.SZ,16.84,16.49,16.69,20190111,16.69,16.69,0.0,0.0,1932.18,3220.929
000004.SZ,16.92,16.49,16.54,20190114,16.92,16.69,-0.15,-0.8987,2081.0,3457.0
000004.SZ,16.72,16.4,16.71,20190115,16.46,16.54,0.17,1.0278,2461.0,4077.005
000004.SZ,16.83,16.55,16.71,20190116,16.7,16.71,0.0,0.0,1990.0,3320.169
000004.SZ,16.78,16.4,16.44,20190117,16.78,16.71,-0.27,-1.6158,1690.0,2799.98
000004.SZ,16.66,16.44,16.58,20190118,16.44,16.44,0.14,0.8516,1588.0,2628.571
000004.SZ,16.68,16.42,16.58,20190121,16.42,16.58,0.0,0.0,1753.01,2904.442
000004.SZ,16.61,16.28,16.29,20190122,16.5,16.58,-0.29,-1.7491,1632.0,2677.582
000004.SZ,16.36,16.2,16.29,20190123,16.36,16.29,0.0,0.0,1332.0,2168.82
000004.SZ,16.42,16.22,16.3,20190124,16.42,16.29,0.01,0.0614,1150.0,1874.711
000004.SZ,16.43,16.27,16.29,20190125,16.3,16.3,-0.01,-0.0613,2807.2,4587.309
000004.SZ,16.49,16.01,16.03,20190128,16.2,16.29,-0.26,-1.5961,2821.6,4587.147
000004.SZ,15.95,15.0,15.34,20190129,15.95,16.03,-0.69,-4.3044,3938.01,6023.159
000004.SZ,15.32,15.03,15.21,20190130,15.32,15.34,-0.13,-0.8475,2381.4,3606.506
000004.SZ,15.5,14.05,15.0,20190131,15.06,15.21,-0.21,-1.3807,2691.0,4029.486
000004.SZ,15.27,14.7,15.09,20190201,14.97,15.0,0.09,0.6,2192.0,3303.871
000004.SZ,15.58,14.85,15.48,20190211,15.15,15.09,0.39,2.5845,1836.59,2818.007
000004.SZ,16.08,15.15,15.86,20190212,15.61,15.48,0.38,2.4548,3268.47,5150.276
000004.SZ,16.06,15.58,15.94,20190213,15.8,15.86,0.08,0.5044,3273.46,5203.284
000004.SZ,16.17,15.83,16.0,20190214,15.94,15.94,0.06,0.3764,1775.46,2830.891
000004.SZ,16.21,15.88,16.16,20190215,16.01,16.0,0.16,1.0,2713.74,4371.055
000004.SZ,16.64,16.16,16.53,20190218,16.16,16.16,0.37,2.2896,4312.67,7096.122
000004.SZ,16.75,16.32,16.66,20190219,16.53,16.53,0.13,0.7864,5106.59,8458.529
000006.SZ,5.25,5.1,5.15,20190102,5.18,5.18,-0.03,-0.5792,63229.64,32733.636
000006.SZ,5.21,5.11,5.15,20190103,5.15,5.15,0.0,0.0,53549.58,27676.497
000006.SZ,5.28,5.06,5.26,20190104,5.09,5.15,0.11,2.1359,84868.77,44163.596
000006.SZ,5.38,5.28,5.34,20190107,5.35,5.26,0.08,1.5209,122466.32,65359.569
000006.SZ,5.37,5.31,5.32,20190108,5.36,5.34,-0.02,-0.3745,76982.99,41113.896
000006.SZ,5.43,5.34,5.36,20190109,5.38,5.32,0.04,0.7519,122083.67,65788.355
000006.SZ,5.39,5.29,5.29,20190110,5.36,5.36,-0.07,-1.306,72266.0,38483.049
000006.SZ,5.39,5.3,5.38,20190111,5.32,5.29,0.09,1.7013,72307.16,38645.416
000006.SZ,5.37,5.28,5.29,20190114,5.37,5.38,-0.09,-1.6729,63213.46,33608.567
000006.SZ,5.37,5.23,5.37,20190115,5.28,5.29,0.08,1.5123,82037.03,43498.551
000006.SZ,5.41,5.31,5.39,20190116,5.37,5.37,0.02,0.3724,98535.32,52871.483
000006.SZ,5.38,5.25,5.26,20190117,5.38,5.39,-0.13,-2.4119,94829.81,50314.175
000006.SZ,5.44,5.24,5.37,20190118,5.27,5.26,0.11,2.0913,102470.86,54571.186
000006.SZ,5.43,5.33,5.35,20190121,5.38,5.37,-0.02,-0.3724,119751.43,64347.95
000006.SZ,5.38,5.25,5.28,20190122,5.36,5.35,-0.07,-1.3084,65078.89,34494.556
000006.SZ,5.32,5.23,5.25,20190123,5.25,5.28,-0.03,-0.5682,48932.15,25784.288
000006.SZ,5.33,5.2,5.27,20190124,5.25,5.25,0.02,0.381,75420.62,39712.241
000006.SZ,5.34,5.25,5.27,20190125,5.29,5.27,0.0,0.0,77820.46,41248.911
000006.SZ,5.32,5.2,5.21,20190128,5.29,5.27,-0.06,-1.1385,81225.47,42666.64
000006.SZ,5.24,5.1,5.16,20190129,5.21,5.21,-0.05,-0.9597,70760.75,36520.854
000006.SZ,5.26,5.12,5.19,20190130,5.12,5.16,0.03,0.5814,67380.0,35074.432
000006.SZ,5.24,5.11,5.14,20190131,5.18,5.19,-0.05,-0.9634,72829.58,37738.761
000006.SZ,5.29,5.17,5.28,20190201,5.18,5.14,0.14,2.7237,77252.54,40470.731
000006.SZ,5.4,5.25,5.4,20190211,5.27,5.28,0.12,2.2727,114998.93,61527.978
000006.SZ,5.55,5.36,5.52,20190212,5.4,5.4,0.12,2.2222,151002.95,82564.941
000006.SZ,5.62,5.46,5.58,20190213,5.51,5.52,0.06,1.087,187579.62,104304.515
000006.SZ,5.71,5.55,5.64,20190214,5.59,5.58,0.06,1.0753,168671.56,95204.737
000006.SZ,5.66,5.53,5.57,20190215,5.64,5.64,-0.07,-1.2411,139589.44,77996.078
000006.SZ,5.8,5.63,5.79,20190218,5.65,5.57,0.22,3.9497,208498.55,119187.534
000006.SZ,6.12,5.75,5.84,20190219,6.05,5.79,0.05,0.8636,498911.89,296135.797
000008.SZ,3.91,3.81,3.88,20190102,3.89,3.89,-0.01,-0.2571,98226.46,38054.667
000008.SZ,3.9,3.83,3.84,20190103,3.87,3.88,-0.04,-1.0309,113078.36,43612.175
000008.SZ,3.91,3.8,3.91,20190104,3.8,3.84,0.07,1.8229,188831.93,73082.453
000008.SZ,4.15,3.92,4.07,20190107,3.95,3.91,0.16,4.0921,433498.13,176372.067
000008.SZ,4.25,4.03,4.14,20190108,4.07,4.07,0.07,1.7199,481872.99,200299.9
000008.SZ,4.16,4.06,4.09,20190109,4.12,4.14,-0.05,-1.2077,356876.61,147140.162
000008.SZ,4.09,4.0,4.01,20190110,4.08,4.09,-0.08,-1.956,203777.66,82402.787
000008.SZ,4.06,3.98,4.06,20190111,4.01,4.01,0.05,1.2469,237609.26,95248.208
000008.SZ,4.09,4.0,4.01,20190114,4.08,4.06,-0.05,-1.2315,168113.51,67725.788
000008.SZ,4.05,3.98,4.04,20190115,4.01,4.01,0.03,0.7481,167665.08,67435.541
000008.SZ,4.05,4.0,4.01,20190116,4.05,4.04,-0.03,-0.7426,153791.93,61809.143
000008.SZ,4.02,3.95,3.96,20190117,4.0,4.01,-0.05,-1.2469,177732.71,70843.935
000008.SZ,3.99,3.8,3.94,20190118,3.98,3.96,-0.02,-0.5051,243091.5,95202.365
000008.SZ,3.96,3.89,3.94,20190121,3.93,3.94,0.0,0.0,203072.02,79632.886
000008.SZ,3.94,3.89,3.89,20190122,3.92,3.94,-0.05,-1.269,130313.08,50976.299
000008.SZ,3.91,3.86,3.88,20190123,3.89,3.89,-0.01,-0.2571,135607.25,52581.558
000008.SZ,3.91,3.84,3.87,20190124,3.87,3.88,-0.01,-0.2577,110770.0,42942.591
000008.SZ,3.89,3.85,3.87,20190125,3.86,3.87,0.0,0.0,81336.74,31520.486
000008.SZ,3.91,3.85,3.86,20190128,3.88,3.87,-0.01,-0.2584,122668.9,47649.292
000008.SZ,3.87,3.8,3.84,20190129,3.86,3.86,-0.02,-0.5181,162035.87,62083.326
000008.SZ,3.88,3.82,3.84,20190130,3.84,3.84,0.0,0.0,107215.11,41296.342
000008.SZ,3.8,3.5,3.64,20190131,3.8,3.84,-0.2,-5.2083,414286.58,151790.765
000008.SZ,3.75,3.65,3.74,20190201,3.67,3.64,0.1,2.7473,148745.06,55122.448
000008.SZ,3.81,3.61,3.81,20190211,3.76,3.74,0.07,1.8717,185126.68,69583.05
000008.SZ,3.87,3.77,3.85,20190212,3.77,3.81,0.04,1.0499,151099.41,57956.767
000008.SZ,3.94,3.84,3.92,20190213,3.85,3.85,0.07,1.8182,230187.5,89985.694
000008.SZ,3.96,3.9,3.93,20190214,3.92,3.92,0.01,0.2551,158172.14,62247.945
000008.SZ,3.96,3.88,3.92,20190215,3.93,3.93,-0.01,-0.2545,166266.41,65082.653
000008.SZ,4.01,3.89,3.99,20190218,3.91,3.92,0.07,1.7857,352042.63,139609.226
000008.SZ,4.09,3.96,4.0,20190219,4.06,3.99,0.01,0.2506,321111.88,128813.051
000009.SZ,4.41,4.26,4.3,20190102,4.35,4.31,-0.01,-0.232,101892.01,43979.784
000009.SZ,4.37,4.23,4.24,20190103,4.28,4.3,-0.06,-1.3953,100606.34,43139.817
000009.SZ,4.39,4.18,4.37,20190104,4.2,4.24,0.13,3.066,140533.66,60621.407
000009.SZ,4.53,4.41,4.45,20190107,4.43,4.37,0.08,1.8307,168734.81,75414.218
000009.SZ,4.56,4.44,4.52,20190108,4.46,4.45,0.07,1.573,168607.94,76235.687
000009.SZ,4.57,4.46,4.48,20190109,4.55,4.52,-0.04,-0.885,179542.24,81301.667
000009.SZ,4.52,4.41,4.45,20190110,4.5,4.48,-0.03,-0.6696,107785.7,48188.377
000009.SZ,4.47,4.4,4.47,20190111,4.45,4.45,0.02,0.4494,121099.81,53761.994
000009.SZ,4.53,4.44,4.48,20190114,4.5,4.47,0.01,0.2237,109618.37,49241.883
