ts_code,symbol,name,k,d,j,簇
000001.SZ,1,平安银行,86.03038498329099,87.44687436174128,83.19740622639037,0.0
000002.SZ,2,万科A,76.5568325700054,79.25010734722721,71.17028301556178,0.0
000004.SZ,4,国华网安,66.06137527242639,50.3574616407997,97.46920253567976,2.0
000006.SZ,6,深振业A,80.47765873220982,64.96615852244618,111.5006591517371,0.0
000008.SZ,8,神州高铁,79.45084778033129,62.212884105573366,113.92677512984712,0.0
000009.SZ,9,中国宝安,78.05176988934423,60.908867488979205,112.33757469007428,0.0
000010.SZ,10,美丽生态,59.81959372917568,44.85236773422204,89.75404571908298,2.0
000011.SZ,11,深物业A,74.03742388650957,56.45303298307715,109.2062056933744,0.0
000012.SZ,12,南玻A,66.21762537997299,54.324196289534335,90.00448356085029,2.0
000014.SZ,14,沙河股份,63.20275201686614,49.58675077264559,90.43475450530724,2.0
000016.SZ,16,深康佳A,67.73979301685648,54.805018046802495,93.60934295696444,2.0
000017.SZ,17,深中华A,55.48516813100738,39.23456897428878,87.98636644444457,2.0
000019.SZ,19,深粮控股,75.34100340881155,60.9090241194016,104.20496198763142,0.0
000020.SZ,20,深华发A,65.6247493732295,49.42464706232506,98.02495399503836,2.0
000021.SZ,21,深科技,76.18887273112178,63.39247971584869,101.78165876166796,0.0
000023.SZ,23,深天地A,72.24856151073485,52.97424551857208,110.79719349506038,0.0
000025.SZ,25,特力A,57.47543721876892,42.13120239847569,88.16390685935536,2.0
000026.SZ,26,飞亚达,77.47043979101318,60.278223619810326,111.85487213341888,0.0
000027.SZ,27,深圳能源,78.71182175409409,61.28468186528245,113.56610153171736,0.0
000028.SZ,28,国药一致,84.18676878346537,69.83678128340952,112.88674378357706,0.0
000030.SZ,30,富奥股份,85.60914740132245,71.16273034711267,114.501981509742,0.0
000031.SZ,31,大悦城,80.84980627343296,65.43776634396141,111.67388613237604,0.0
000032.SZ,32,深桑达A,79.00364664620008,69.46157467352593,98.08779059154838,0.0
000034.SZ,34,神州数码,56.24403692207949,40.694789532367295,87.34253170150387,2.0
000035.SZ,35,中国天楹,75.841931196382,57.23851233821114,113.04876891272372,0.0
000036.SZ,36,华联控股,82.84964360429868,68.8797990782921,110.78933265631184,0.0
000038.SZ,38,深大通,75.57629789342326,65.59840022366225,95.53209323294529,0.0
000039.SZ,39,中集集团,80.96310216621458,67.53261539846531,107.82407570171311,0.0
000040.SZ,40,东旭蓝天,68.29393401343265,53.42246334972916,98.03687534083964,2.0
000042.SZ,42,中洲控股,78.8859729583872,63.26413409228471,110.1296506905922,0.0
000045.SZ,45,深纺织A,69.83273407577572,47.68808408969697,114.12203404793324,0.0
