ts_code,symbol,name
000001.SZ,1,平安银行
000002.SZ,2,万科A
000004.SZ,4,国华网安
000006.SZ,6,深振业A
000008.SZ,8,神州高铁
000009.SZ,9,中国宝安
000010.SZ,10,美丽生态
000011.SZ,11,深物业A
000012.SZ,12,南玻A
000014.SZ,14,沙河股份
000016.SZ,16,深康佳A
000017.SZ,17,深中华A
000019.SZ,19,深粮控股
000020.SZ,20,深华发A
000021.SZ,21,深科技
000023.SZ,23,深天地A
000025.SZ,25,特力A
000026.SZ,26,飞亚达
000027.SZ,27,深圳能源
000028.SZ,28,国药一致
000030.SZ,30,富奥股份
000031.SZ,31,大悦城
000032.SZ,32,深桑达A
000034.SZ,34,神州数码
000035.SZ,35,中国天楹
000036.SZ,36,华联控股
000038.SZ,38,深大通
000039.SZ,39,中集集团
000040.SZ,40,东旭蓝天
000042.SZ,42,中洲控股
000045.SZ,45,深纺织A
000046.SZ,46,泛海控股
000048.SZ,48,京基智农
000049.SZ,49,德赛电池
000050.SZ,50,深天马A
000055.SZ,55,方大集团
000056.SZ,56,皇庭国际
000058.SZ,58,深赛格
000059.SZ,59,华锦股份
000060.SZ,60,中金岭南
000061.SZ,61,农产品
000062.SZ,62,深圳华强
000063.SZ,63,中兴通讯
000065.SZ,65,北方国际
000066.SZ,66,中国长城
000068.SZ,68,华控赛格
000069.SZ,69,华侨城A
000070.SZ,70,特发信息
000078.SZ,78,海王生物
000088.SZ,88,盐田港
000089.SZ,89,深圳机场
000090.SZ,90,天健集团
000096.SZ,96,广聚能源
000099.SZ,99,中信海直
000100.SZ,100,TCL科技
000150.SZ,150,宜华健康
000151.SZ,151,中成股份
000153.SZ,153,丰原药业
000155.SZ,155,川能动力
000156.SZ,156,华数传媒
000157.SZ,157,中联重科
000158.SZ,158,常山北明
000159.SZ,159,国际实业
000166.SZ,166,申万宏源
000301.SZ,301,东方盛虹
000333.SZ,333,美的集团
000338.SZ,338,潍柴动力
000400.SZ,400,许继电气
000401.SZ,401,冀东水泥
000402.SZ,402,金融街
000403.SZ,403,派林生物
000404.SZ,404,长虹华意
000407.SZ,407,胜利股份
000408.SZ,408,藏格矿业
000411.SZ,411,英特集团
000413.SZ,413,东旭光电
000415.SZ,415,渤海租赁
000416.SZ,416,民生控股
000417.SZ,417,合肥百货
000419.SZ,419,通程控股
000420.SZ,420,吉林化纤
000421.SZ,421,南京公用
000422.SZ,422,湖北宜化
000423.SZ,423,东阿阿胶
000425.SZ,425,徐工机械
000426.SZ,426,兴业矿业
000428.SZ,428,华天酒店
000429.SZ,429,粤高速A
000430.SZ,430,张家界
000488.SZ,488,晨鸣纸业
000498.SZ,498,山东路桥
000501.SZ,501,鄂武商A
000503.SZ,503,国新健康
000504.SZ,504,南华生物
000505.SZ,505,京粮控股
000506.SZ,506,中润资源
000507.SZ,507,珠海港
000510.SZ,510,新金路
000513.SZ,513,丽珠集团
000514.SZ,514,渝开发
000517.SZ,517,荣安地产
000518.SZ,518,四环生物
000519.SZ,519,中兵红箭
000520.SZ,520,长航凤凰
000521.SZ,521,长虹美菱
000524.SZ,524,岭南控股
000526.SZ,526,学大教育
000528.SZ,528,柳工
000529.SZ,529,广弘控股
000530.SZ,530,冰山冷热
000531.SZ,531,穗恒运A
000532.SZ,532,华金资本
000533.SZ,533,顺钠股份
000534.SZ,534,万泽股份
000536.SZ,536,华映科技
000537.SZ,537,广宇发展
000538.SZ,538,云南白药
000539.SZ,539,粤电力A
000540.SZ,540,中天金融
000541.SZ,541,佛山照明
000543.SZ,543,皖能电力
000544.SZ,544,中原环保
000545.SZ,545,金浦钛业
000546.SZ,546,金圆股份
000547.SZ,547,航天发展
000548.SZ,548,湖南投资
000550.SZ,550,江铃汽车
000551.SZ,551,创元科技
000552.SZ,552,靖远煤电
000553.SZ,553,安道麦A
000554.SZ,554,泰山石油
000555.SZ,555,神州信息
000557.SZ,557,西部创业
000558.SZ,558,莱茵体育
000559.SZ,559,万向钱潮
000560.SZ,560,我爱我家
000561.SZ,561,烽火电子
000563.SZ,563,陕国投A
000565.SZ,565,渝三峡A
