ts_code,symbol,name,k,d,j
000001.SZ,1,平安银行,77.5869885862459,75.00880069985077,82.74336435903615
000002.SZ,2,万科A,72.99321100867546,64.96322105260566,89.05319092081504
000004.SZ,4,国华网安,28.207478094739074,35.41770498461952,13.787024314978183
000006.SZ,6,深振业A,57.52832197276622,58.01346319864828,56.558039521002115
000008.SZ,8,神州高铁,36.23103462609635,39.989608014299364,28.713887849690337
000009.SZ,9,中国宝安,47.26390207871681,51.41254264711047,38.966620941929506
000010.SZ,10,美丽生态,33.281792777458634,42.333943673581146,15.177490985213609
000011.SZ,11,深物业A,45.75501910380872,52.337470595688586,32.590116120049004
000012.SZ,12,南玻A,66.54905302248318,66.9300044501334,65.78715016718274
000014.SZ,14,沙河股份,44.789845686560454,51.76097267888249,30.847591701916386
000016.SZ,16,深康佳A,61.72586401911311,58.31580275128482,68.54598655476968
000017.SZ,17,深中华A,33.89481987315372,43.53147254562908,14.621514528203008
000019.SZ,19,深粮控股,50.98595572850312,53.211369245696204,46.53512869411696
000020.SZ,20,深华发A,46.990018140115474,51.69333494219774,37.583384535950955
000021.SZ,21,深科技,62.52885227544095,67.27688911574549,53.03277859483185
000023.SZ,23,深天地A,17.5679532976322,22.47659138940607,7.750677114084461
000025.SZ,25,特力A,31.684499314128907,36.399895486315216,22.25370696975628
000026.SZ,26,飞亚达,65.31040052939241,66.46115439374634,63.00889280068455
000027.SZ,27,深圳能源,47.35044334663178,55.66432636564586,30.722677308603608
000028.SZ,28,国药一致,74.34808182829228,66.15465787773573,90.7349297294054
000030.SZ,30,富奥股份,58.97347248560538,63.97908415788369,48.962249141048744
000031.SZ,31,大悦城,42.062563816949606,48.73603762492639,28.71561620099604
000032.SZ,32,深桑达A,37.4997427552984,50.72744190758564,11.044344450723912
000034.SZ,34,神州数码,30.02146732463874,33.84953595643326,22.365330061049704
000035.SZ,35,中国天楹,25.24110894742729,32.485237803890435,10.752851234500994
000036.SZ,36,华联控股,49.42747204203569,57.31382669549647,33.65476273511413
000038.SZ,38,深大通,34.71979964801791,36.21460876167725,31.73018142069924
000039.SZ,39,中集集团,84.07086661373572,76.72748353413121,98.75763277294473
000040.SZ,40,东旭蓝天,36.05932084768059,43.9062456258223,20.365471291397157
000042.SZ,42,中洲控股,43.02147970346582,49.62313046660164,29.8181781771942
000045.SZ,45,深纺织A,34.38817492651217,47.36395003314675,8.43662471324302
000046.SZ,46,泛海控股,66.02846882984585,69.13592111826324,59.813564253011066
000048.SZ,48,京基智农,30.954443538192187,33.369452480599875,26.124425653376818
000049.SZ,49,德赛电池,23.94610728804902,29.56396996350457,12.710381937137925
000050.SZ,50,深天马A,36.10987396995621,40.1015841345059,28.126453640856838
000055.SZ,55,方大集团,93.41563786008228,82.80084798603315,114.64521760818059
000056.SZ,56,皇庭国际,26.008753670432128,26.525441844062577,24.97537732317123
000058.SZ,58,深赛格,60.45921254749774,60.31280910360326,60.75201943528671
000059.SZ,59,华锦股份,35.73050509869674,48.89365987405195,9.404195547986319
000060.SZ,60,中金岭南,70.92030329067374,65.11940186014267,82.52210615173587
000061.SZ,61,农产品,55.05116950598455,50.57626976560915,64.00096898673534
000062.SZ,62,深圳华强,51.311988611795556,47.18950112432594,59.55696358673478
000063.SZ,63,中兴通讯,57.589757309511576,54.25410378531143,64.26106435791186
000065.SZ,65,北方国际,49.085128701686415,53.81037682562733,39.634632453804585
000066.SZ,66,中国长城,69.99241671697848,62.79324231037373,84.39076553018799
000068.SZ,68,华控赛格,64.55390919530632,63.298977868843096,67.06377184823276
000069.SZ,69,华侨城A,45.262354848411505,47.8283195058794,40.1304255334757
000070.SZ,70,特发信息,39.67550530200411,52.48371866750389,14.059078571004562
000078.SZ,78,海王生物,43.08390937536423,50.32975604507921,28.592216035934285
000088.SZ,88,盐田港,52.008371760631505,51.66210658084698,52.70090212020054
000089.SZ,89,深圳机场,78.26826920738168,76.04434823331741,82.71611115551022
