"ts_code","symbol","name","area","industry","fullname","market","list_date"
"600000.SH","600000","浦发银行","上海","银行","上海浦东发展银行股份有限公司","主板","19991110"
"600004.SH","600004","白云机场","广东","机场","广州白云国际机场股份有限公司","主板","20030428"
"600006.SH","600006","东风汽车","湖北","汽车整车","东风汽车股份有限公司","主板","19990727"
"600007.SH","600007","中国国贸","北京","园区开发","中国国际贸易中心股份有限公司","主板","19990312"
"600008.SH","600008","首创环保","北京","环境保护","北京首创生态环保集团股份有限公司","主板","20000427"
"600009.SH","600009","上海机场","上海","机场","上海国际机场股份有限公司","主板","19980218"
"600010.SH","600010","包钢股份","内蒙","普钢","内蒙古包钢钢联股份有限公司","主板","20010309"
"600011.SH","600011","华能国际","北京","火力发电","华能国际电力股份有限公司","主板","20011206"
"600012.SH","600012","皖通高速","安徽","路桥","安徽皖通高速公路股份有限公司","主板","20030107"
"600015.SH","600015","华夏银行","北京","银行","华夏银行股份有限公司","主板","20030912"
"600016.SH","600016","民生银行","北京","银行","中国民生银行股份有限公司","主板","20001219"
"600017.SH","600017","日照港","山东","港口","日照港股份有限公司","主板","20061017"
"600018.SH","600018","上港集团","上海","港口","上海国际港务(集团)股份有限公司","主板","20061026"
"600019.SH","600019","宝钢股份","上海","普钢","宝山钢铁股份有限公司","主板","20001212"
"600020.SH","600020","中原高速","河南","路桥","河南中原高速公路股份有限公司","主板","20030808"
"600021.SH","600021","上海电力","上海","火力发电","上海电力股份有限公司","主板","20031029"
"600022.SH","600022","山东钢铁","山东","普钢","山东钢铁股份有限公司","主板","20040629"
"600023.SH","600023","浙能电力","浙江","火力发电","浙江浙能电力股份有限公司","主板","20131219"
"600025.SH","600025","华能水电","云南","水力发电","华能澜沧江水电股份有限公司","主板","20171215"
"600026.SH","600026","中远海能","上海","水运","中远海运能源运输股份有限公司","主板","20020523"
"600027.SH","600027","华电国际","山东","火力发电","华电国际电力股份有限公司","主板","20050203"
"600028.SH","600028","中国石化","北京","石油加工","中国石油化工股份有限公司","主板","20010808"
"600029.SH","600029","南方航空","广东","空运","中国南方航空股份有限公司","主板","20030725"
"600030.SH","600030","中信证券","深圳","证券","中信证券股份有限公司","主板","20030106"
"600031.SH","600031","三一重工","北京","工程机械","三一重工股份有限公司","主板","20030703"
"600032.SH","600032","浙江新能","浙江","新型电力","浙江省新能源投资集团股份有限公司","主板","20210525"
